"PLANOGRUPO","MUEBLE_ID","TAMAÑO_POST","DIRECCION_LEGO_ID","CHAROLA","Width","Height","X","Y"
"Botanas","GC","5","DI","1","91","1","0","10"
"Botanas","GC","1","DI","1","91","1","0","9"
"Jugos","CF","1","DI","1","55","2.5","0","0"
"Refrescos","CF","3"," DI","1","55","2.5","0","0"
"Refrescos","CF","4.5","DI","1","55","2.5","0","0"
"Refrescos","CF","1"," DI","1","55","2.5","0","0"
"Botanas","GC","7","DI","1","91","1","0","10"
"Jugos","CF","1.5","ID","1","55","2.5","0","0"
"Botanas","GC","4.5","ID","1","91","1","0","97.9"
"Botanas","GC","10","ID","1","91","1","0","10"
"Jugos","GC","1","DI","1","91","3","0","10"
"Botanas","GC","9","ID","1","91","1","0","10"
"Alternativas","CF","1","DI","1","55","2.5","0","0.5"
"Refrescos","CF","4.5"," ID","1","55","2.5","0","0"
"Botanas","GC","3.5","ID","1","91","1","0","97.9"
"Botanas","GC","3","ID","1","91","1","0","10"
"Refrescos","CF","6.5","DI","1","55","2.5","0","0"
"Alternativas","CF","3.5","ID","1","55","2.5","0","98.5"
"Refrescos","CF","1.5","ID","1","55","2.5","0","0"
"Jugos","GC","2","ID","1","91","3","0","10"
"Botanas","GC","10","DI","1","91","1","0","10"
"Alternativas","CF","5","ID","1","55","2.5","0","0.5"
"Alternativas","CF","0.5","ID","1","55","2.5","0","0"
"Refrescos","CF","6.5","ID","1","55","2.5","0","0"
"Alternativas","CF","0.5","DI","1","55","2.5","0","0"
"Jugos","CF","1","ID","1","55","2.5","0","0"
"Alternativas","CF","4","DI","1","55","2.5","0","0.5"
"Refrescos","CF","3.5","ID","1","55","2.5","0","0"
"Refrescos","CF","2.5","ID","1","55","2.5","0","0"
"Jugos","CF","2.5","ID","1","55","2.5","0","39"
"Jugos","GC","0.5","ID","1","91","3","0","10"
"Botanas","GC","3","DI","1","91","1","0","10"
"Botanas","GC","4","ID","1","91","1","0","10"
"Jugos","CF","2","DI","1","55","2.5","0","0"
"Jugos","CF","1.5","DI","1","55","2.5","0","0"
"Alternativas","CF","2.5","ID","1","55","2.5","0","98.5"
"Refrescos","CF","1","ID","1","55","2.5","0","0"
